hcpcs_code,state,code_category,avg_payment,p25_payment,p50_payment,p75_payment,p90_payment,p75_p25_spread,p90_p50_ratio,provider_count,total_claims
99213,IA,Office Visit,39.28,31.18,39.18,45.96,55.56,14.78,1.42,7600,274853
99214,IN,Office Visit,63.6,49.94,64.49,78.09,91.34,28.15,1.42,15905,777039
99284,NE,ED Code,70.67,63.09,70.84,83.69,100,20.6,1.41,147,3146
99213,GU,Office Visit,67.09,45.49,68.14,91.83,96.01,46.34,1.41,1241,87104
99214,NV,Office Visit,68.7,51.68,70.82,87.5,99.74,35.82,1.41,5641,267226
99213,WV,Office Visit,36.51,27.58,37.82,45.86,53.39,18.28,1.41,8259,397980
99215,AL,Office Visit,75.71,61.2,74.29,81.46,104.69,20.26,1.41,184,3253
99215,AZ,Office Visit,64.93,44.72,69.97,85.21,98.83,40.49,1.41,1577,53992
99214,MI,Office Visit,72.35,56.63,74.89,90.18,105.32,33.55,1.41,13858,515249
99214,WV,Office Visit,58.89,45.09,58.49,72.32,81.99,27.23,1.4,6293,261208
99213,IL,Office Visit,42.2,31.85,42.58,48.98,59.48,17.13,1.4,503419,18997279
99285,OH,ED Code,93.31,78.53,90.84,104.68,127.18,26.15,1.4,7463,181035
99215,LA,Office Visit,53.8,40.14,56.72,72.41,79.27,32.27,1.4,1994,63429
99284,OH,ED Code,71.28,56.95,67.13,78.72,94.1,21.77,1.4,8771,260146
99214,IL,Office Visit,59.5,45.48,59.85,72.23,83.94,26.75,1.4,736470,23575688
99213,WY,Office Visit,49.9,37.17,45.63,54.82,63.88,17.65,1.4,695,30279
99214,CO,Office Visit,64.64,47.62,67.65,84.96,94.1,37.34,1.39,3847,174476
99213,MD,Office Visit,63.53,49.75,68.11,83.72,94.62,33.97,1.39,23401,1186172
99214,KY,Office Visit,44.93,35.29,45.35,55.25,63.15,19.96,1.39,18614,603407
99214,VA,Office Visit,63.68,46.52,65.91,83.39,91.5,36.87,1.39,17098,781576
99214,LA,Office Visit,39.5,27.52,43.26,53.16,59.89,25.64,1.38,27624,1651174
99285,CT,ED Code,110.55,84.64,106.53,130.66,147.28,46.02,1.38,1747,47142
99213,AK,Office Visit,65.64,2.33,84.6,106.36,116.4,104.03,1.38,943,33910
99213,SC,Office Visit,50.69,37.56,53.69,67.87,73.88,30.31,1.38,4688,189375
99213,VA,Office Visit,45.19,35.63,46.41,57.16,64.04,21.53,1.38,13260,740903
99214,UT,Office Visit,61.11,47.55,65.23,77.12,89.65,29.57,1.37,2598,79436
99284,VA,ED Code,77.56,66.29,73.4,95.33,100.83,29.04,1.37,907,24693
99284,MD,ED Code,83.81,67.21,73.4,89.56,100.51,22.35,1.37,1771,59481
99284,UT,ED Code,82.93,66.95,83.69,90.57,114.24,23.62,1.37,84,1419
99214,DC,Office Visit,76.81,59.27,83.61,104.85,113.74,45.58,1.36,2884,105186
99283,OH,ED Code,48.75,36.06,39.86,46.6,54.19,10.54,1.36,2701,69334
99215,IA,Office Visit,67.97,56.5,63.81,75.38,86.02,18.88,1.35,230,3974
99284,DE,ED Code,69.54,46.19,73.06,88.41,98.49,42.22,1.35,135,2254
99284,FL,ED Code,75.49,65.64,73.78,86.74,99.5,21.1,1.35,2103,60571
99215,PA,Office Visit,62.14,49.77,60.33,72.65,81.39,22.88,1.35,6488,119674
99214,NE,Office Visit,57.93,46.9,60.42,71.06,81.27,24.16,1.35,1779,66751
99215,KS,Office Visit,70.43,67.14,77.83,87.14,103.92,20,1.34,213,5893
99215,KY,Office Visit,68.37,62.4,68.31,79.05,91.23,16.65,1.34,794,23723
99284,CO,ED Code,78.89,67.57,72.89,76.92,97.71,9.35,1.34,866,28561
99214,AZ,Office Visit,57.95,47.59,60.05,70.74,79.9,23.15,1.33,15259,634600
99215,MT,Office Visit,159.36,134.36,157.86,191.04,209.2,56.68,1.33,414,10998
99214,VT,Office Visit,76.47,59.45,80.39,94.74,107.18,35.29,1.33,1542,52946
99214,MT,Office Visit,114.96,98.08,120.25,140.86,158.25,42.78,1.32,1965,47376
99213,KY,Office Visit,30.83,25.94,31.16,37.12,40.92,11.18,1.31,38332,2358979
99214,PA,Office Visit,49.19,38.91,49.04,56.27,64.39,17.36,1.31,246840,7814146
